날짜,종가,시가,고가,저가,거래량,변동 %
1990- 01- 02,80.56,79.66,81.2,79.15,1.92K,1.24%
1990- 01- 03,81.75,81.12,82.25,80.8,3.50K,1.48%
1990- 01- 04,82.48,81.87,82.6,81.75,3.10K,0.89%
1990- 01- 05,81.16,82.8,83.7,80.0,6.42K,-1.60%
1990- 01- 08,81.38,81.4,81.9,80.8,2.37K,0.27%
1990- 01- 09,82.84,80.57,83.0,80.4,5.02K,1.79%
1990- 01- 10,82.57,82.92,83.5,81.5,4.97K,-0.33%
1990- 01- 11,81.6,81.55,81.95,80.75,4.65K,-1.17%
1990- 01- 12,79.04,80.75,81.0,78.7,5.43K,-3.14%
1990- 01- 15,77.56,78.52,79.8,77.5,6.10K,-1.87%
1990- 01- 16,77.55,77.85,78.25,76.6,4.70K,-0.01%
1990- 01- 17,78.76,78.17,79.4,77.6,3.06K,1.56%
1990- 01- 18,79.37,78.77,79.45,78.3,2.52K,0.77%
1990- 01- 19,81.31,79.45,81.45,79.25,4.46K,2.44%
1990- 01- 22,81.49,81.2,82.0,80.75,3.01K,0.22%
1990- 01- 23,80.06,81.37,81.5,80.0,3.00K,-1.75%
1990- 01- 24,80.53,79.75,81.35,79.55,3.03K,0.59%
1990- 01- 25,81.31,81.97,82.05,80.6,2.75K,0.97%
1990- 01- 26,81.92,81.32,81.95,80.8,2.54K,0.75%
1990- 01- 29,80.8,81.92,82.2,80.7,2.66K,-1.37%
1990- 01- 30,80.37,80.1,80.75,79.9,2.08K,-0.53%
1990- 01- 31,79.99,79.77,81.0,79.75,2.41K,-0.47%
1990- 02- 01,80.64,79.85,80.75,79.8,2.29K,0.81%
1990- 02- 02,80.38,81.5,81.6,80.2,4.26K,-0.32%
1990- 02- 05,80.04,80.07,80.75,79.6,2.68K,-0.42%
1990- 02- 06,80.04,79.87,80.2,79.65,2.04K,0.00%
1990- 02- 07,81.66,80.32,81.8,80.05,3.94K,2.02%
1990- 02- 08,82.09,81.82,82.5,81.5,3.04K,0.53%
1990- 02- 09,85.06,82.55,85.4,82.25,6.32K,3.62%
1990- 02- 12,86.27,84.92,88.0,84.85,4.37K,1.42%
1990- 02- 13,86.55,86.4,87.5,85.3,4.14K,0.32%
1990- 02- 14,85.81,88.05,89.5,85.6,5.28K,-0.86%
1990- 02- 15,84.98,86.87,87.25,84.6,3.56K,-0.97%
1990- 02- 16,85.81,84.8,86.9,84.6,4.39K,0.98%
1990- 02- 20,86.91,86.52,87.75,86.5,2.00K,1.28%
1990- 02- 21,89.64,87.25,89.9,86.5,1.21K,3.14%
1990- 02- 22,91.16,90.3,91.4,88.6,1.01K,1.70%
1990- 02- 23,91.55,91.75,92.45,91.0,0.51K,0.43%
1990- 02- 26,91.42,90.45,92.5,90.15,0.40K,-0.14%
1990- 02- 27,90.04,91.12,91.35,90.0,0.47K,-1.51%
1990- 02- 28,92.81,90.25,93.0,90.1,0.23K,3.08%
1990- 03- 01,96.75,93.5,96.75,93.5,0.26K,4.25%
1990- 03- 02,99.0,96.8,99.0,96.8,0.77K,2.33%
1990- 03- 05,104.5,99.5,104.5,99.5,0.42K,5.56%
1990- 03- 06,100.67,104.25,105.0,100.3,0.23K,-3.67%
1990- 03- 07,101.88,102.75,103.0,101.0,0.32K,1.20%
1990- 03- 08,102.5,103.0,104.25,102.5,0.14K,0.61%
1990- 03- 09,95.18,101.0,101.0,95.25,0.20K,-7.14%
1990- 03- 12,93.25,95.8,95.8,92.25,0.27K,-2.03%
1990- 03- 13,96.25,95.6,97.5,95.0,0.06K,3.22%
