老磊,0-9技,10-19技,20-29技,30-39技,40-49技,50-59技,60-69技,70-79技,80技捞惑
2020-01-20,-,-,-,1,-,-,-,-,-
2020-01-21,-,-,-,-,-,-,-,-,-
2020-01-22,-,-,-,-,-,-,-,-,-
2020-01-23,-,-,-,-,-,-,-,-,-
2020-01-24,-,-,-,-,-,1,-,-,-
2020-01-25,-,-,-,-,-,-,-,-,-
2020-01-26,-,-,-,-,-,1,-,-,-
2020-01-27,-,-,-,-,-,1,-,-,-
2020-01-28,-,-,-,-,-,-,-,-,-
2020-01-29,-,-,-,-,-,-,-,-,-
2020-01-30,-,-,1,1,-,1,-,-,-
2020-01-31,-,-,2,-,-,1,1,-,-
2020-02-01,-,-,-,-,1,-,-,-,-
2020-02-02,-,-,1,-,2,-,-,-,-
2020-02-03,-,-,-,-,-,-,-,-,-
2020-02-04,-,-,-,-,1,-,-,-,-
2020-02-05,-,-,1,2,1,1,-,-,-
2020-02-06,-,-,1,-,1,1,-,-,-
2020-02-07,-,-,-,-,-,-,-,-,-
2020-02-08,-,-,-,-,-,-,-,-,-
2020-02-09,-,-,-,1,-,1,-,1,-
2020-02-10,-,-,-,1,-,-,-,-,-
2020-02-11,-,-,-,-,-,-,-,-,-
2020-02-12,-,-,-,-,-,-,-,-,-
2020-02-13,-,-,-,-,-,-,-,-,-
2020-02-14,-,-,-,-,-,-,-,-,-
2020-02-15,-,-,-,-,-,-,-,-,-
2020-02-16,-,-,-,-,-,-,1,-,1
2020-02-17,-,-,-,-,-,-,-,-,-
2020-02-18,-,1,-,-,-,-,1,-,-
2020-02-19,-,-,8,3,4,11,4,4,-
2020-02-20,-,1,4,3,2,4,2,-,-
2020-02-21,-,1,16,7,17,16,10,6,1
2020-02-22,-,5,24,19,28,59,47,7,1
2020-02-23,1,4,53,21,37,51,30,10,3
2020-02-24,1,6,46,34,32,49,28,9,2
2020-02-25,-,6,38,19,20,26,17,3,1
2020-02-26,1,7,78,32,32,43,43,12,5
2020-02-27,6,20,167,49,59,80,42,21,5
2020-02-28,4,24,114,59,66,87,44,19,10
2020-02-29,6,24,302,108,134,149,120,41,25
2020-03-01,7,42,200,66,81,103,63,24,9
2020-03-02,5,29,181,82,113,146,82,33,15
2020-03-03,3,37,179,73,81,118,65,32,12
2020-03-04,-,29,158,53,79,100,47,35,15
2020-03-05,4,25,154,27,54,74,53,30,17
2020-03-06,7,35,148,33,43,89,65,54,44
2020-03-07,7,34,154,33,54,70,65,43,23
2020-03-08,6,33,103,32,34,64,48,26,21
2020-03-09,8,18,60,18,30,42,38,29,5
2020-03-10,1,12,21,11,25,26,13,16,6
2020-03-11,8,12,25,15,52,56,31,29,14
2020-03-12,1,7,21,8,18,25,12,14,8
2020-03-13,1,9,13,12,16,28,13,9,9
2020-03-14,4,3,15,10,16,27,15,9,8
2020-03-15,2,3,12,9,9,17,12,10,2
2020-03-16,2,5,13,7,6,17,12,5,7
2020-03-17,1,4,17,7,17,16,10,8,4
2020-03-18,1,2,12,17,7,14,25,3,12
2020-03-19,5,5,16,13,10,27,21,20,35
2020-03-20,6,8,7,7,12,14,19,6,8
2020-03-21,1,6,15,7,10,16,19,21,52
2020-03-22,2,3,16,9,19,19,13,6,11
2020-03-23,2,-,21,8,7,11,7,4,4
2020-03-24,3,7,22,3,6,14,7,9,5
2020-03-25,-,7,34,23,12,7,9,3,5
2020-03-26,1,13,35,12,6,14,8,5,10
2020-03-27,2,8,24,5,4,14,8,14,12
2020-03-28,1,5,34,19,22,28,31,2,4
2020-03-29,2,7,35,15,14,19,8,3,2
2020-03-30,1,5,28,9,5,14,8,5,3
2020-03-31,-,3,25,10,16,37,18,11,5
2020-04-01,3,4,28,14,11,14,10,7,10
2020-04-02,3,3,22,16,11,15,12,5,2
2020-04-03,2,6,30,9,13,9,9,5,3
2020-04-04,1,2,27,14,8,10,17,10,5
2020-04-05,2,5,28,17,12,6,7,3,1
2020-04-06,2,7,15,3,5,2,5,5,3
2020-04-07,-,2,15,6,7,3,10,3,1
2020-04-08,-,4,13,9,5,7,8,3,4
2020-04-09,2,4,12,7,7,1,3,-,3
2020-04-10,1,1,7,5,2,4,4,2,1
2020-04-11,1,5,6,2,2,6,7,-,1
2020-04-12,-,3,12,5,2,4,3,3,-
2020-04-13,2,1,9,3,1,2,5,1,1
2020-04-14,-,3,7,4,4,3,3,2,1
2020-04-15,-,4,10,4,3,2,1,2,1
2020-04-16,3,3,5,1,2,3,2,1,2
2020-04-17,1,4,9,3,1,2,1,1,-
2020-04-18,2,-,9,1,1,2,1,1,1
2020-04-19,-,2,3,1,-,1,-,-,1
2020-04-20,-,3,5,2,-,3,-,-,-
2020-04-21,-,2,1,-,1,3,-,1,1
2020-04-22,-,1,3,1,4,-,1,1,-
2020-04-23,-,1,2,1,1,1,-,1,1
2020-04-24,-,1,1,1,-,1,1,-,1
2020-04-25,1,1,3,1,2,-,2,-,-
2020-04-26,1,-,3,5,1,-,-,-,-
2020-04-27,-,2,3,4,1,-,-,-,-
2020-04-28,-,2,5,2,1,2,1,1,-
2020-04-29,-,-,3,2,3,1,-,-,-
2020-04-30,-,-,1,2,1,-,-,-,-
2020-05-01,-,-,5,1,2,-,-,-,1
2020-05-02,-,-,3,1,1,-,1,-,-
2020-05-03,-,1,2,3,2,-,2,1,2
2020-05-04,-,-,2,1,3,-,2,-,-
2020-05-05,-,-,-,1,1,1,-,-,-
