Date,Price,High,Low,Vol.
10/25/2024,"2,583.27","2,611.27","2,577.00",462.90M
10/24/2024,"2,581.03","2,600.26","2,578.80",343.10M
10/23/2024,"2,599.62","2,607.79","2,567.42",352.42M
10/22/2024,"2,570.70","2,604.16","2,564.46",343.32M
10/21/2024,"2,604.92","2,618.71","2,594.05",240.68M
10/18/2024,"2,593.82","2,618.32","2,587.96",265.20M
10/17/2024,"2,609.30","2,622.71","2,603.52",331.26M
10/16/2024,"2,610.36","2,622.33","2,601.35",437.55M
10/15/2024,"2,633.45","2,635.32","2,615.47",438.29M
10/14/2024,"2,623.29","2,628.54","2,602.63",401.71M
10/11/2024,"2,596.91","2,621.93","2,594.43",491.28M
10/10/2024,"2,599.16","2,613.61","2,596.86",618.56M
10/8/2024,"2,594.36","2,601.96","2,581.79",318.24M
10/7/2024,"2,610.38","2,611.93","2,561.46",343.67M
10/4/2024,"2,569.71","2,585.59","2,555.57",414.33M
10/2/2024,"2,561.69","2,591.61","2,555.46",351.00M
9/30/2024,"2,593.27","2,668.66","2,593.27",358.92M
9/27/2024,"2,649.78","2,681.45","2,649.78",413.00M
9/26/2024,"2,671.57","2,671.57","2,630.30",324.89M
9/25/2024,"2,596.32","2,663.36","2,596.32",454.47M
9/24/2024,"2,631.68","2,631.68","2,597.81",355.10M
9/23/2024,"2,602.01","2,603.57","2,588.49",339.14M
9/20/2024,"2,593.37","2,619.55","2,591.40",495.96M
9/19/2024,"2,580.80","2,598.68","2,550.09",385.08M
9/13/2024,"2,575.41","2,584.11","2,562.91",358.26M
9/12/2024,"2,572.09","2,572.09","2,537.87",340.48M
9/11/2024,"2,513.37","2,526.13","2,493.37",302.56M
9/10/2024,"2,523.43","2,544.83","2,522.48",347.65M
9/9/2024,"2,535.93","2,543.22","2,491.30",270.23M
9/6/2024,"2,544.28","2,576.94","2,529.31",374.78M
9/5/2024,"2,575.50","2,615.80","2,560.65",379.00M
9/4/2024,"2,580.80","2,608.13","2,578.07",455.47M
9/3/2024,"2,664.63","2,695.59","2,664.63",303.46M
9/2/2024,"2,681.00","2,686.98","2,658.31",266.99M
8/30/2024,"2,674.31","2,686.51","2,668.66",278.84M
8/29/2024,"2,662.28","2,672.90","2,649.56",288.84M
8/28/2024,"2,689.83","2,695.51","2,671.59",280.77M
8/27/2024,"2,689.25","2,700.18","2,681.92",264.06M
8/26/2024,"2,698.01","2,718.47","2,688.79",333.69M
8/23/2024,"2,701.69","2,712.84","2,689.54",330.59M
8/22/2024,"2,707.67","2,711.38","2,690.35",441.76M
8/21/2024,"2,701.13","2,704.98","2,684.61",417.33M
8/20/2024,"2,696.63","2,706.05","2,686.06",484.19M
8/19/2024,"2,674.36","2,699.84","2,664.28",395.64M
8/16/2024,"2,697.23","2,699.61","2,680.74",385.85M
8/14/2024,"2,644.50","2,653.71","2,632.44",328.75M
8/13/2024,"2,621.50","2,636.12","2,607.52",378.53M
8/12/2024,"2,618.30","2,622.86","2,602.01",293.08M
8/9/2024,"2,588.43","2,603.08","2,575.90",475.01M
8/8/2024,"2,556.73","2,570.34","2,518.52",495.30M
8/7/2024,"2,568.41","2,594.83","2,510.82",476.99M
8/6/2024,"2,522.15","2,578.77","2,491.47",567.27M
8/5/2024,"2,441.55","2,611.30","2,386.96",763.78M
8/2/2024,"2,676.19","2,725.05","2,666.40",531.78M
8/1/2024,"2,777.68","2,794.11","2,772.97",480.83M
7/31/2024,"2,770.69","2,770.70","2,733.63",557.09M
7/30/2024,"2,738.19","2,754.53","2,732.82",392.87M
7/29/2024,"2,765.53","2,776.86","2,742.69",456.52M
7/26/2024,"2,731.90","2,738.40","2,715.75",516.47M
7/25/2024,"2,710.65","2,725.15","2,703.86",440.32M
7/24/2024,"2,758.71","2,778.31","2,748.65",469.22M
7/23/2024,"2,774.29","2,796.92","2,765.81",423.40M
7/22/2024,"2,763.51","2,795.12","2,752.63",463.88M
7/19/2024,"2,795.46","2,802.68","2,776.99",426.21M
7/18/2024,"2,824.35","2,824.35","2,799.02",658.37M
7/17/2024,"2,843.29","2,868.58","2,841.33",549.09M
7/16/2024,"2,866.09","2,872.21","2,857.07",677.91M
7/15/2024,"2,860.92","2,872.90","2,848.93",424.46M
7/12/2024,"2,857.00","2,872.25","2,844.88",408.18M
7/11/2024,"2,891.35","2,896.43","2,879.28",462.22M
7/10/2024,"2,867.99","2,871.56","2,858.87",472.47M
7/9/2024,"2,867.38","2,875.37","2,854.13",456.43M
7/8/2024,"2,857.76","2,868.99","2,855.53",425.06M
7/5/2024,"2,862.23","2,871.96","2,836.21",378.16M
7/4/2024,"2,824.94","2,824.94","2,808.88",393.74M
7/3/2024,"2,794.01","2,799.70","2,774.71",340.34M
7/2/2024,"2,780.86","2,805.42","2,776.62",538.84M
7/1/2024,"2,804.31","2,805.95","2,783.98",459.22M
6/28/2024,"2,797.82","2,797.82","2,782.40",610.55M
6/27/2024,"2,784.06","2,784.33","2,761.55",397.17M
6/26/2024,"2,792.05","2,792.07","2,762.98",535.03M
6/25/2024,"2,774.39","2,780.42","2,765.76",714.24M
6/24/2024,"2,764.73","2,782.90","2,758.09",594.17M
6/21/2024,"2,784.26","2,797.00","2,777.33",631.14M
6/20/2024,"2,807.63","2,812.62","2,796.37",758.17M
6/19/2024,"2,797.33","2,799.32","2,786.16",646.71M
6/18/2024,"2,763.92","2,772.35","2,759.03",561.97M
6/17/2024,"2,744.10","2,759.86","2,741.03",593.99M
6/14/2024,"2,758.42","2,769.16","2,750.86",644.98M
6/13/2024,"2,754.89","2,776.72","2,752.61",700.03M
6/12/2024,"2,728.17","2,730.30","2,707.44",511.01M
6/11/2024,"2,705.32","2,718.88","2,702.17",558.89M
6/10/2024,"2,701.17","2,718.89","2,689.19",506.89M
6/7/2024,"2,722.67","2,729.63","2,705.23",783.87M
6/5/2024,"2,689.50","2,697.43","2,667.63",881.48M
6/4/2024,"2,662.10","2,679.47","2,659.43",773.46M
6/3/2024,"2,682.52","2,690.73","2,657.81",782.33M
5/31/2024,"2,636.52","2,664.48","2,635.77",613.72M
5/30/2024,"2,635.44","2,666.63","2,635.44",372.74M
5/29/2024,"2,677.30","2,721.63","2,677.07",438.98M
