자치구명,법정동명,건물명,물건금액(만원),건물면적(㎡),토지면적(㎡),건축년도
광진구,중곡동,삼원제우스,26000,26.19,16.41,2016.0
광진구,구의동,신도브래뉴오피스텔,9800,20.08,27.12,2003.0
강북구,번동,,106000,256.97,130.6,2018.0
강동구,천호동,하우징허브,34000,33.2,18.7,2016.0
은평구,진관동,어드벤스힐 오피스텔,15100,29.79,40.6,2013.0
용산구,동자동,센트레빌아스테리움서울,165000,149.05,0.0,2013.0
마포구,성산동,태림센트윈Ⅱ,30000,25.65,34.77,2021.0
강서구,화곡동,소담밸리,16200,29.14,16.71,2012.0
관악구,봉천동,에이스 에이-존,15000,24.31,32.85,2005.0
동작구,대방동,대방동현대,98000,84.96,0.0,1994.0
송파구,잠실동,동명하이텔,17000,19.47,27.6,2002.0
관악구,신림동,한솔빌라6차(724-29),28000,64.12,29.5,2002.0
마포구,성산동,마포상암시티프라디움리버,20000,17.02,25.86,2021.0
은평구,대조동,두진아이브,19600,15.96,10.51,2014.0
구로구,오류동,대덕하이츠빌라A동(1-91),10000,49.5,25.82,1995.0
중랑구,중화동,해피리움빌,26000,29.64,21.72,2019.0
중구,흥인동,동대문 와이즈 캐슬,14100,19.92,24.83,2014.0
송파구,풍납동,한강극동,90000,84.76,0.0,1995.0
은평구,신사동,한솔타운(31-28),8000,22.5,10.25,1994.0
광진구,화양동,KY동부빌,49500,55.86,30.43,2013.0
강서구,가양동,흥림아트빌가동,33000,68.41,31.3,2001.0
도봉구,쌍문동,은행주택(203동),27200,43.69,24.2,2017.0
구로구,구로동,우진체리쉬,48000,75.06,0.0,2005.0
구로구,구로동,티타운빌딩,18800,37.57,53.92,2006.0
동작구,상도동,천우빌라,28000,82.06,46.21,1992.0
성북구,종암동,9-34,39408,58.42,36.17,2019.0
강서구,염창동,현대2,58000,59.39,0.0,1993.0
마포구,성산동,시티하임ⅡB동,31000,24.59,15.87,2019.0
은평구,불광동,한양골든빌리지(90-7),16500,42.05,17.15,1993.0
송파구,석촌동,욱빈힐타움(279-4),31500,23.95,15.0,2017.0
송파구,가락동,한신빌라트,39500,60.91,31.75,2001.0
구로구,온수동,태영렉스빌101동,15450,49.17,28.63,2002.0
동대문구,장안동,,83000,215.14,129.0,1996.0
은평구,응암동,신진빌라B동,24000,57.21,27.48,2001.0
강서구,화곡동,청송평화하이맨션C동(867-54),21400,57.79,34.68,2005.0
마포구,망원동,드림빌라,45900,77.22,42.16,2009.0
중구,황학동,위너빌(Winnervill),35500,29.87,0.0,2018.0
양천구,신월동,신월동방원,38500,84.86,0.0,2004.0
중구,황학동,위너빌(Winnervill),35500,29.87,0.0,2018.0
관악구,신림동,아름채(10-559),23000,28.53,19.98,2019.0
금천구,시흥동,둥지빌라,28800,74.7,49.15,2003.0
성북구,길음동,길음뉴타운9단지(래미안),130000,114.86,0.0,2010.0
강서구,화곡동,세광주택,20800,59.52,31.0,2000.0
강서구,등촌동,멤버스빌A동,27000,51.85,23.0,2016.0
강동구,천호동,엘림스퀘어,17550,17.92,23.94,2018.0
양천구,목동,목동신시가지7,187000,66.6,0.0,1986.0
양천구,신정동,목동신시가지13,150000,70.73,0.0,1987.0
영등포구,신길동,엔-씨티오피스텔,13500,28.15,40.0,2000.0
노원구,중계동,중계무지개,60500,59.26,0.0,1991.0
마포구,성산동,상암 스위트포레,13000,18.55,26.93,2016.0
강서구,화곡동,힐타운(151-8),18000,46.25,22.82,2002.0
서초구,양재동,우송아트빌라,32000,39.84,16.8,1993.0
종로구,누하동,,73000,37.39,69.4,1970.0
영등포구,문래동1가,2030센터뷰,39700,26.78,11.51,2023.0
성북구,안암동4가,안암,15000,50.68,0.0,1969.0
송파구,문정동,송파푸르지오시티,23900,30.0,39.11,2013.0
성북구,장위동,석계역한일노벨리아시티,10000,14.71,0.0,2019.0
중랑구,중화동,대원파크빌,35000,54.36,25.45,2018.0
구로구,항동,하버라인4단지,61800,59.86,0.0,2019.0
구로구,가리봉동,삼부르네상스파크빌,12550,23.66,31.54,2006.0
성북구,석관동,예건C동,23800,54.39,28.86,2003.0
성동구,행당동,서울숲리버뷰자이,145000,59.97,0.0,2018.0
구로구,개봉동,동완아트,29900,74.33,40.63,2010.0
동대문구,휘경동,이문휘경지웰에스테이트,17500,14.14,5.76,2021.0
성북구,정릉동,정원빌,19500,29.18,16.95,2018.0
강서구,화곡동,미성아파트(연립),69300,119.77,0.0,1987.0
강서구,화곡동,진성아파트102동,50000,82.37,0.0,2005.0
종로구,익선동,현대뜨레비앙,29800,36.08,0.0,2003.0
노원구,공릉동,동희빌라,16300,44.34,25.32,1995.0
마포구,성산동,벽산상암스마트큐브,15500,19.2,28.1,2017.0
동대문구,용두동,동의보감타워,16800,36.02,49.34,2005.0
양천구,신월동,에코힐스,33400,28.8,11.18,2021.0
영등포구,당산동4가,코오롱 스타폴리스,22900,40.28,51.33,2005.0
강북구,우이동,삼호골드타운5동,24600,59.95,35.0,2001.0
송파구,문정동,파크하비오,47500,48.93,62.01,
성북구,석관동,우남에버빌A동,33000,63.7,30.27,2004.0
노원구,상계동,상계주공10(고층),54700,49.94,0.0,1988.0
동작구,본동,신동아,97000,104.7,0.0,1993.0
양천구,목동,혜림주택(521-13),25500,46.1,25.97,2014.0
강서구,마곡동,마곡에비앙,12500,18.45,27.47,2015.0
도봉구,창동,금강빌라,13000,33.05,19.28,1994.0
양천구,신정동,목동신시가지13,210000,122.3,0.0,1987.0
양천구,신정동,목동힐스테이트,127000,59.95,0.0,2016.0
은평구,대조동,금강블루,25000,74.62,86.02,2011.0
금천구,시흥동,,41951,81.38,92.0,1975.0
양천구,목동,스페이스빌,34000,46.3,29.8,2011.0
영등포구,영등포동3가,영등포 점프밀라노,21000,37.05,60.88,2005.0
은평구,진관동,아이파크 포레스트 게이트,14450,24.91,35.78,2013.0
강서구,등촌동,주원베르빌102동,38000,49.94,31.8,2014.0
강동구,길동,비바체하임,42000,40.99,20.25,2019.0
중랑구,상봉동,로젠하임,15400,14.7,6.6,2019.0
중구,황학동,올리브1,13000,23.73,34.01,2004.0
동작구,상도동,미성해드림(256-228),27000,29.81,19.79,2016.0
강북구,수유동,수유프리미어엠,11000,19.0,0.0,2016.0
강서구,화곡동,크라운팰리스,29600,29.94,11.06,2020.0
마포구,도화동,에스케이허브그린,27800,38.51,50.59,2005.0
동작구,상도동,더클래식,41600,29.56,18.44,2023.0
성북구,장위동,수빌리지,27800,42.48,26.67,2018.0
마포구,공덕동,,117000,215.44,93.0,1997.0
성북구,돈암동,한진(609-1),49500,59.58,0.0,1998.0
금천구,시흥동,벨로체,20500,45.27,26.46,2014.0
성동구,금호동2가,신금호파크자이,149000,84.98,0.0,2016.0
마포구,노고산동,예담빌서강7차,44700,20.61,11.53,2021.0
송파구,가락동,제일오피스텔,19650,30.06,41.71,1992.0
강북구,우이동,삼호골드타운5동,25000,59.95,35.0,2001.0
중랑구,상봉동,로젠하임,14400,13.76,6.18,2019.0
동작구,상도동,삼성하이츠(279-591),30000,56.99,29.55,2012.0
성북구,길음동,래미안길음센터피스,133000,84.95,0.0,2019.0
은평구,불광동,우진빌라(480-179),15600,36.89,27.93,1991.0
마포구,성산동,KCC상암스튜디오380,14700,20.35,27.69,2014.0
은평구,응암동,백련산힐스테이트3차,86000,84.32,0.0,2011.0
강서구,공항동,마곡대림밸리,25000,29.55,18.08,2019.0
서대문구,연희동,브라운스톤 연희,90000,156.24,208.46,2007.0
송파구,잠실동,리센츠,259000,84.99,0.0,2008.0
강남구,자곡동,강남 푸르지오시티 1차,16700,24.57,31.36,2014.0
성동구,하왕십리동,블루빌,32000,37.61,0.0,2014.0
금천구,시흥동,썬그린파크(942-15),23000,28.93,22.09,2011.0
동대문구,장안동,장안힐스테이트,134500,133.28,0.0,2007.0
중랑구,신내동,신내 데시앙포레,74000,84.91,0.0,2013.0
송파구,가락동,제일오피스텔,19650,30.06,41.71,1992.0
성북구,길음동,그린힐스(GreenHills),32500,58.84,24.25,2019.0
강동구,천호동,로뎀,75000,126.48,0.0,2003.0
금천구,가산동,가산 미소지움,11000,15.93,15.93,2017.0
마포구,성산동,상암 퍼스티지 더올림 오피스텔,16800,17.14,25.95,2018.0
노원구,상계동,상계주공12(고층),50000,61.52,0.0,1988.0
동작구,상도동,홈씨아트로얄,38200,47.52,25.25,2019.0
강남구,삼성동,LG트윈텔,54800,67.87,89.92,2000.0
성동구,용답동,(238-7),30100,36.02,47.81,2023.0
관악구,신림동,일성트루엘,17400,26.12,35.59,2013.0
성동구,용답동,(238-7),31700,40.98,54.24,2023.0
성동구,용답동,(238-7),18900,21.79,29.51,2023.0
성동구,용답동,(238-7),15350,18.76,25.25,2023.0
강서구,등촌동,등촌동성원상떼뷰오피스텔,10500,33.72,47.18,2003.0
성동구,용답동,(238-7),37450,44.76,59.3,2023.0
성동구,용답동,(238-7),18950,21.79,29.51,2023.0
광진구,구의동,신도브래뉴오피스텔,14970,32.17,43.46,2003.0
노원구,상계동,상계주공11(고층),55000,49.94,0.0,1988.0
성동구,용답동,(238-7),31000,40.72,53.55,2023.0
도봉구,쌍문동,삼익세라믹,38200,58.77,0.0,1988.0
성동구,용답동,(238-7),18400,21.79,29.51,2023.0
성동구,용답동,(238-7),30400,36.02,47.81,2023.0
성동구,용답동,(238-7),22300,26.78,35.99,2023.0
성동구,용답동,(238-7),37050,46.88,61.39,2023.0
성동구,용답동,(238-7),37800,46.88,61.39,2023.0
금천구,독산동,독산주공14단지,50000,59.22,0.0,1990.0
성동구,용답동,(238-7),20150,24.34,32.57,2023.0
성동구,용답동,(238-7),37400,46.88,61.39,2023.0
성동구,용답동,(238-7),34600,41.63,55.3,2023.0
성동구,성수동1가,동아그린,116000,84.91,0.0,1999.0
성동구,용답동,(238-7),34000,41.97,55.12,2023.0
